message,label
free money now,spam
win a free prize,spam
claim your free gift,spam
limited time offer,spam
click here to win cash,spam
cheap loans available now,spam
earn money fast,spam
congratulations you won,spam
exclusive deal just for you,spam
urgent respond now,spam
act now limited offer,spam
get rich quick scheme,spam
you have been selected,spam
final notice claim reward,spam
double your income now,spam

meeting tomorrow at noon,ham
can you send me the notes,ham
let's study for the exam,ham
are you free for lunch,ham
project update attached,ham
see you in class tomorrow,ham
did you finish the assignment,ham
what time is the meeting,ham
call me when you're free,ham
can we reschedule our meeting,ham
thanks for your help,ham
let me know your thoughts,ham
are you coming tonight,ham
check the document I sent,ham
we should catch up soon,ham